"","ai","aj","goodness"
"1",0,0,86.965825
"2",0.01,0,87.1940650715694
"3",0.02,0,87.4223051431388
"4",0.03,0,87.6505452147082
"5",0.04,0,87.8787852862775
"6",0.05,0,88.1070253578469
"7",0.06,0,88.3352654294163
"8",0.07,0,88.5635055009857
"9",0.08,0,88.7917455725551
"10",0.09,0,89.0199856441245
"11",0.1,0,89.2482257156938
"12",0.11,0,89.4764657872632
"13",0.12,0,89.7047058588326
"14",0.13,0,89.932945930402
"15",0.14,0,90.1611860019714
"16",0.15,0,90.3894260735408
"17",0.16,0,90.6176661451101
"18",0.17,0,90.8459062166795
"19",0.18,0,91.0741462882489
"20",0.19,0,91.3023863598183
"21",0.2,0,91.5306264313877
"22",0.21,0,91.758866502957
"23",0.22,0,91.9871065745264
"24",0.23,0,92.2153466460958
"25",0.24,0,92.4435867176652
"26",0.25,0,92.6718267892346
"27",0.26,0,92.900066860804
"28",0.27,0,93.1283069323733
"29",0.28,0,93.3565470039427
"30",0.29,0,93.5847870755121
"31",0.3,0,93.8130271470815
"32",0.31,0,94.0412672186509
"33",0.32,0,94.2695072902202
"34",0.33,0,94.4977473617896
"35",0.34,0,94.725987433359
"36",0.35,0,94.9542275049284
"37",0.36,0,95.1824675764978
"38",0.37,0,95.4107076480672
"39",0.38,0,95.6389477196365
"40",0.39,0,95.867187791206
"41",0.4,0,96.0954278627753
"42",0.41,0,96.3236679343447
"43",0.42,0,96.5519080059141
"44",0.43,0,96.7801480774835
"45",0.44,0,97.0083881490528
"46",0.45,0,97.2366282206223
"47",0.46,0,97.4648682921916
"48",0.47,0,97.693108363761
"49",0.48,0,97.9213484353304
"50",0.49,0,98.1495885068998
"51",0.5,0,98.3778285784691
"52",0.51,0,98.6060686500386
"53",0.52,0,98.8343087216079
"54",0.53,0,99.0625487931773
"55",0.54,0,99.2907888647467
"56",0.55,0,99.5190289363161
"57",0.56,0,99.7472690078854
"58",0.57,0,99.9755090794548
"59",0.58,0,100.203749151024
"60",0.59,0,100.431989222594
"61",0.6,0,100.660229294163
"62",0.61,0,100.888469365732
"63",0.62,0,101.116709437302
"64",0.63,0,101.344949508871
"65",0.64,0,101.573189580441
"66",0.65,0,101.80142965201
"67",0.66,0,102.029669723579
"68",0.67,0,102.257909795149
"69",0.68,0,102.486149866718
"70",0.69,0,102.714389938287
"71",0.7,0,102.942630009857
"72",0.71,0,103.170870081426
"73",0.72,0,103.399110152996
"74",0.73,0,103.627350224565
"75",0.74,0,103.855590296134
"76",0.75,0,104.083830367704
"77",0.76,0,104.312070439273
"78",0.77,0,104.540310510843
"79",0.78,0,104.768550582412
"80",0.79,0,104.996790653981
"81",0.8,0,105.225030725551
"82",0.81,0,105.45327079712
"83",0.82,0,105.681510868689
"84",0.83,0,105.909750940259
"85",0.84,0,106.137991011828
"86",0.85,0,106.366231083398
"87",0.86,0,106.594471154967
"88",0.87,0,106.822711226536
"89",0.88,0,107.050951298106
"90",0.89,0,107.279191369675
"91",0.9,0,107.507431441244
"92",0.91,0,107.735671512814
"93",0.92,0,107.963911584383
"94",0.93,0,108.192151655953
"95",0.94,0,108.420391727522
"96",0.95,0,108.648631799091
"97",0.96,0,108.876871870661
"98",0.97,0,109.10511194223
"99",0.98,0,109.3333520138
"100",0.99,0,109.561592085369
"101",1,0,110.786685055909
"102",0,0.01,86.965825
"103",0.01,0.01,87.1943335215694
"104",0.02,0.01,87.4228420431388
"105",0.03,0.01,87.6513505647082
"106",0.04,0.01,87.8798590862775
"107",0.05,0.01,88.1083676078469
