delta,run,criterion,Prototypes,epochs,error
0.5,16,3,B: 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 ;,100000,9.09196
0.5,17,3,B: 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ;,100000,7.1847
0.5,18,3,B: 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 0 ;,100000,8.82355
0.5,19,3,B: 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 ;,100000,8.40301
0.5,20,3,B: 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 ;,100000,6.70224
0.5,21,3,B: 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 1 ;,100000,7.65477
0.5,22,3,B: 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 1 0 ;,100000,7.33445
0.5,23,3,B: 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 0 ;,100000,7.9927
0.5,24,3,B: 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 ;,100000,7.29798
0.5,25,3,B: 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 ;,100000,8.44489
0.5,26,3,B: 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 0 0 ;,100000,6.745
0.5,27,3,B: 1 0 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 ;,100000,6.62335
0.5,28,3,B: 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 1 ;,100000,8.15804
0.5,29,3,B: 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 ;,100000,9.85756
0.5,30,3,B: 1 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 ;,100000,8.04811
