"","ai","aj","goodness"
"180",0.375,0.1,0.412275
"181",0.4,0.1,0.43976
"182",0.425,0.1,0.467245
"183",0.45,0.1,0.49473
"184",0.475,0.1,0.522215
"185",0.5,0.1,0.5497
"186",0.525,0.1,0.577185
"187",0.55,0.1,0.60467
"188",0.575,0.1,0.632155
"189",0.6,0.1,0.65964
"190",0.625,0.1,0.687125
"191",0.65,0.1,0.71461
"192",0.675,0.1,0.742095
"193",0.7,0.1,0.76958
"194",0.725,0.1,0.797065
"195",0.75,0.1,0.82455
"196",0.775,0.1,0.852035
"197",0.8,0.1,0.87952
"198",0.825,0.1,0.907005
"199",0.85,0.1,0.93449
"200",0.875,0.1,0.961975
"201",0.9,0.1,0.98946
"202",0.925,0.1,1.016945
"203",0.95,0.1,1.04443
"204",0.975,0.1,1.071915
"205",1,0.1,1.0994
"206",0,0.125,0
"207",0.025,0.125,0.02810625
"208",0.05,0.125,0.0562125
"209",0.075,0.125,0.08431875
"210",0.1,0.125,0.112425
"211",0.125,0.125,0.14053125
"212",0.15,0.125,0.1686375
"213",0.175,0.125,0.19674375
"214",0.2,0.125,0.22485
"215",0.225,0.125,0.25295625
"216",0.25,0.125,0.2810625
"217",0.275,0.125,0.30916875
"218",0.3,0.125,0.337275
"219",0.325,0.125,0.36538125
"220",0.35,0.125,0.3934875
"221",0.375,0.125,0.42159375
"222",0.4,0.125,0.4497
"223",0.425,0.125,0.47780625
"224",0.45,0.125,0.5059125
"225",0.475,0.125,0.53401875
"226",0.5,0.125,0.562125
"227",0.525,0.125,0.59023125
"228",0.55,0.125,0.6183375
"229",0.575,0.125,0.64644375
"230",0.6,0.125,0.67455
"231",0.625,0.125,0.70265625
"232",0.65,0.125,0.7307625
"233",0.675,0.125,0.75886875
"234",0.7,0.125,0.786975
"235",0.725,0.125,0.81508125
"236",0.75,0.125,0.8431875
"237",0.775,0.125,0.87129375
"238",0.8,0.125,0.8994
"239",0.825,0.125,0.92750625
"240",0.85,0.125,0.9556125
"241",0.875,0.125,0.98371875
"242",0.9,0.125,1.011825
"243",0.925,0.125,1.03993125
"244",0.95,0.125,1.0680375
"245",0.975,0.125,1.09614375
"246",1,0.125,1.12425
"247",0,0.15,0
"248",0.025,0.15,0.0287275
"249",0.05,0.15,0.057455
"250",0.075,0.15,0.0861825
"251",0.1,0.15,0.11491
"252",0.125,0.15,0.1436375
"253",0.15,0.15,0.172365
